NOM_SIGLA_UF_EMIT,NOM_SIGLA_UF_DEST,DSC_UF_EMIT,DSC_UF_DEST,NOM_SIGLA_REGIAO_EMIT,NOM_SIGLA_REGIAO_DEST,DSC_REGIAO_EMIT,DSC_REGIAO_DEST,SEGMENTO_ECONOMICO_EMIT,SEGMENTO_ECONOMICO_DEST,QTDE_NOTAS,TOTAL_VLR
CE,RS,CEARA,RIO GRANDE DO SUL,NE,S,Nordeste,Sul,COMERCIO ATACADISTA,,1390,1.3874471732339457E7
CE,BA,CEARA,BAHIA,NE,NE,Nordeste,Nordeste,SERVICOS DE COMUNICACAO,,28,640032.8883066177
CE,PR,CEARA,PARANA,NE,S,Nordeste,Sul,COMERCIO ATACADISTA,,1076,2.266901951306343E7
BA,CE,BAHIA,CEARA,NE,NE,Nordeste,Nordeste,,ENERGIA ELETRICA,1356,6.8696800099886E7
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,COMERCIO VAREJISTA,COMERCIO VAREJISTA,740638,1.9124965260536313E9
CE,RJ,CEARA,RIO DE JANEIRO,NE,SE,Nordeste,Sudeste,PRODUTOR AGROPECUARIO,,144,1.0273600587890625E7
RN,CE,RIO GRANDE DO NORTE,CEARA,NE,NE,Nordeste,Nordeste,,INDUSTRIA,4268,9.044170198231277E7
PA,CE,PARA,CEARA,N,NE,Norte,Nordeste,,INDUSTRIA,1481,2.2354591725442076E8
CE,SP,CEARA,SAO PAULO,NE,SE,Nordeste,Sudeste,COMERCIO VAREJISTA,,15061,6.488841720139862E7
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,COMERCIO ATACADISTA,COMBUSTIVEL,677,9149899.001441956
PE,CE,PERNAMBUCO,CEARA,NE,NE,Nordeste,Nordeste,INDUSTRIA,COMERCIO VAREJISTA,3412,6.801630195647621E7
PR,CE,PARANA,CEARA,S,NE,Sul,Nordeste,,COMERCIO VAREJISTA,7912,8.135177070140713E7
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,SERVICOS DE TRANSPORTE,COMERCIO ATACADISTA,3362,5.120940518147676E7
AL,CE,ALAGOAS,CEARA,NE,NE,Nordeste,Nordeste,INDUSTRIA,CONSTRUCAO CIVIL,33,1673977.1423950195
MG,CE,MINAS GERAIS,CEARA,SE,NE,Sudeste,Nordeste,,,2561,2.3462312932068378E7
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,PRODUTOR AGROPECUARIO,OUTROS SEGMENTOS,1320,1417806.5798282623
CE,GO,CEARA,GOIAS,NE,CO,Nordeste,Centro-Oeste,INDUSTRIA,,5505,9.602766886132836E7
PB,CE,PARAIBA,CEARA,NE,NE,Nordeste,Nordeste,COMERCIO ATACADISTA,,322,4807553.415878296
PB,CE,PARAIBA,CEARA,NE,NE,Nordeste,Nordeste,,COMERCIO ATACADISTA,4522,8.446517004103836E7
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,COMBUSTIVEL,INDUSTRIA,3340,1.2497120492982006E8
CE,MT,CEARA,MATO GROSSO,NE,CO,Nordeste,Centro-Oeste,INDUSTRIA,,4891,9.814248293976626E7
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,COMERCIO VAREJISTA,SERVICOS DE COMUNICACAO,3759,9030620.050193481
RN,CE,RIO GRANDE DO NORTE,CEARA,NE,NE,Nordeste,Nordeste,,COMERCIO VAREJISTA,4023,2.583675234174013E7
CE,SP,CEARA,SAO PAULO,NE,SE,Nordeste,Sudeste,ENERGIA ELETRICA,,677,1.1439845176352805E8
PA,CE,PARA,CEARA,N,NE,Norte,Nordeste,INDUSTRIA,,20,683146.2244873047
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,OUTROS SEGMENTOS,ENERGIA ELETRICA,29,3776063.1660690308
SP,CE,SAO PAULO,CEARA,SE,NE,Sudeste,Nordeste,COMERCIO VAREJISTA,SERVICOS DE TRANSPORTE,96,468403.1459226608
AL,CE,ALAGOAS,CEARA,NE,NE,Nordeste,Nordeste,,COMERCIO ATACADISTA,3456,3.498123969700281E7
PI,CE,PIAUI,CEARA,NE,NE,Nordeste,Nordeste,,INDUSTRIA,3133,9.904902484875587E7
CE,AM,CEARA,AMAZONAS,NE,N,Nordeste,Norte,COMERCIO VAREJISTA,,865,2780920.401866138
RS,CE,RIO GRANDE DO SUL,CEARA,S,NE,Sul,Nordeste,COMERCIO ATACADISTA,OUTROS SEGMENTOS,27,303547.938873291
RN,CE,RIO GRANDE DO NORTE,CEARA,NE,NE,Nordeste,Nordeste,INDUSTRIA,,266,2983001.181640625
CE,AM,CEARA,AMAZONAS,NE,N,Nordeste,Norte,PRODUTOR AGROPECUARIO,,31,1713354.80078125
AL,CE,ALAGOAS,CEARA,NE,NE,Nordeste,Nordeste,COMERCIO ATACADISTA,,80,5227.200008392334
MG,CE,MINAS GERAIS,CEARA,SE,NE,Sudeste,Nordeste,COMERCIO VAREJISTA,PRODUTOR AGROPECUARIO,2,3704.1700439453125
CE,AC,CEARA,ACRE,NE,N,Nordeste,Norte,COMERCIO ATACADISTA,,99,874876.4538269043
ES,CE,ESPIRITO SANTO,CEARA,SE,NE,Sudeste,Nordeste,INDUSTRIA,COMERCIO VAREJISTA,116,304774.0707092285
CE,BA,CEARA,BAHIA,NE,NE,Nordeste,Nordeste,PRODUTOR AGROPECUARIO,,487,1.0627366824394321E8
ES,CE,ESPIRITO SANTO,CEARA,SE,NE,Sudeste,Nordeste,PRODUTOR AGROPECUARIO,COMERCIO ATACADISTA,9,471139.5625
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,INDUSTRIA,ENERGIA ELETRICA,817,2.581484525499916E7
SC,CE,SANTA CATARINA,CEARA,S,NE,Sul,Nordeste,COMERCIO ATACADISTA,CONSTRUCAO CIVIL,32,273210.4323120117
RN,CE,RIO GRANDE DO NORTE,CEARA,NE,NE,Nordeste,Nordeste,INDUSTRIA,COMERCIO ATACADISTA,298,3538824.272898674
CE,MA,CEARA,MARANHAO,NE,NE,Nordeste,Nordeste,COMERCIO VAREJISTA,COMERCIO VAREJISTA,25,150827.1697998047
SC,CE,SANTA CATARINA,CEARA,S,NE,Sul,Nordeste,INDUSTRIA,CONSTRUCAO CIVIL,71,195232.45958709717
AL,CE,ALAGOAS,CEARA,NE,NE,Nordeste,Nordeste,INDUSTRIA,COMERCIO VAREJISTA,100,470190.2501296997
CE,PB,CEARA,PARAIBA,NE,NE,Nordeste,Nordeste,INDUSTRIA,INDUSTRIA,172,5505056.026094437
CE,GO,CEARA,GOIAS,NE,CO,Nordeste,Centro-Oeste,COMERCIO VAREJISTA,COMERCIO VAREJISTA,5,5503.340057373047
PR,CE,PARANA,CEARA,S,NE,Sul,Nordeste,INDUSTRIA,INDUSTRIA,42,4524047.57232666
CE,GO,CEARA,GOIAS,NE,CO,Nordeste,Centro-Oeste,OUTROS SEGMENTOS,INDUSTRIA,1,103.95999908447266
SC,CE,SANTA CATARINA,CEARA,S,NE,Sul,Nordeste,COMERCIO VAREJISTA,OUTROS SEGMENTOS,22,47647.87995147705
RN,CE,RIO GRANDE DO NORTE,CEARA,NE,NE,Nordeste,Nordeste,COMERCIO VAREJISTA,,70,461326.93072509766
CE,AL,CEARA,ALAGOAS,NE,NE,Nordeste,Nordeste,OUTROS SEGMENTOS,,37,803592.4100952148
CE,BA,CEARA,BAHIA,NE,NE,Nordeste,Nordeste,ENERGIA ELETRICA,INDUSTRIA,4,594035.0531249046
GO,CE,GOIAS,CEARA,CO,NE,Centro-Oeste,Nordeste,COMERCIO ATACADISTA,ADMINISTRACAO PUBLICA E ORG.INTERNACIONAIS,12,2335852.8559789658
RN,CE,RIO GRANDE DO NORTE,CEARA,NE,NE,Nordeste,Nordeste,COMBUSTIVEL,COMBUSTIVEL,358,6.062886787841797E7
CE,SE,CEARA,SERGIPE,NE,NE,Nordeste,Nordeste,COMERCIO VAREJISTA,INDUSTRIA,6,6488.0
RN,CE,RIO GRANDE DO NORTE,CEARA,NE,NE,Nordeste,Nordeste,COMERCIO ATACADISTA,ADMINISTRACAO PUBLICA E ORG.INTERNACIONAIS,2,24109.0
RR,CE,RORAIMA,CEARA,N,NE,Norte,Nordeste,,,16,15206.890090942383
PB,CE,PARAIBA,CEARA,NE,NE,Nordeste,Nordeste,COMERCIO VAREJISTA,INDUSTRIA,18,155456.87287902832
CE,ES,CEARA,ESPIRITO SANTO,NE,SE,Nordeste,Sudeste,SERVICOS DE TRANSPORTE,,7,233749.15687561035
RN,CE,RIO GRANDE DO NORTE,CEARA,NE,NE,Nordeste,Nordeste,SERVICOS DE TRANSPORTE,CONSTRUCAO CIVIL,10,8705.0
MS,CE,MATO GROSSO DO SUL,CEARA,CO,NE,Centro-Oeste,Nordeste,,OUTROS SEGMENTOS,119,417795.7695636749
CE,SE,CEARA,SERGIPE,NE,NE,Nordeste,Nordeste,ENERGIA ELETRICA,,89,1613162.432975769
ES,CE,ESPIRITO SANTO,CEARA,SE,NE,Sudeste,Nordeste,COMERCIO ATACADISTA,SERVICOS DE TRANSPORTE,7,400384.96142578125
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,CONSTRUCAO CIVIL,PRODUTOR AGROPECUARIO,3,1446000.0
PE,CE,PERNAMBUCO,CEARA,NE,NE,Nordeste,Nordeste,COMBUSTIVEL,COMBUSTIVEL,1252,5.528485934230957E8
MG,CE,MINAS GERAIS,CEARA,SE,NE,Sudeste,Nordeste,COMERCIO VAREJISTA,ADMINISTRACAO PUBLICA E ORG.INTERNACIONAIS,3,35047.86083984375
CE,PA,CEARA,PARA,NE,N,Nordeste,Norte,COMERCIO ATACADISTA,COMERCIO ATACADISTA,9,3463.239959716797
PR,CE,PARANA,CEARA,S,NE,Sul,Nordeste,COMERCIO VAREJISTA,,7,14004.800354003906
CE,PI,CEARA,PIAUI,NE,NE,Nordeste,Nordeste,SERVICOS DE TRANSPORTE,SERVICOS DE TRANSPORTE,1,28280.0
MG,CE,MINAS GERAIS,CEARA,SE,NE,Sudeste,Nordeste,,SERVICOS DE COMUNICACAO,74,656479.7078437805
AM,CE,AMAZONAS,CEARA,N,NE,Norte,Nordeste,INDUSTRIA,COMERCIO ATACADISTA,124,5932617.178120613
GO,CE,GOIAS,CEARA,CO,NE,Centro-Oeste,Nordeste,COMERCIO VAREJISTA,INDUSTRIA,10,59597.030245780945
RN,CE,RIO GRANDE DO NORTE,CEARA,NE,NE,Nordeste,Nordeste,COMERCIO ATACADISTA,COMERCIO ATACADISTA,52,2269333.2753519714
RN,CE,RIO GRANDE DO NORTE,CEARA,NE,NE,Nordeste,Nordeste,COMBUSTIVEL,INDUSTRIA,22,2216177.9696874917
CE,PI,CEARA,PIAUI,NE,NE,Nordeste,Nordeste,COMERCIO ATACADISTA,INDUSTRIA,187,3.147344752931595E7
CE,PI,CEARA,PIAUI,NE,NE,Nordeste,Nordeste,COMERCIO VAREJISTA,INDUSTRIA,17,27460.63014602661
CE,PI,CEARA,PIAUI,NE,NE,Nordeste,Nordeste,COMERCIO ATACADISTA,COMERCIO VAREJISTA,254,2052556.8657360077
PB,CE,PARAIBA,CEARA,NE,NE,Nordeste,Nordeste,,SERVICOS DE COMUNICACAO,133,1514640.7434043884
RJ,CE,RIO DE JANEIRO,CEARA,SE,NE,Sudeste,Nordeste,ENERGIA ELETRICA,COMBUSTIVEL,1,126874.0
CE,RJ,CEARA,RIO DE JANEIRO,NE,SE,Nordeste,Sudeste,INDUSTRIA,INDUSTRIA,31,2672056.353729248
PB,CE,PARAIBA,CEARA,NE,NE,Nordeste,Nordeste,COMERCIO ATACADISTA,SERVICOS DE COMUNICACAO,4,23899.539306640625
SP,CE,SAO PAULO,CEARA,SE,NE,Sudeste,Nordeste,COMBUSTIVEL,OUTROS SEGMENTOS,6,78694.6689453125
PI,CE,PIAUI,CEARA,NE,NE,Nordeste,Nordeste,,SERVICOS DE COMUNICACAO,207,956475.7681398392
CE,PE,CEARA,PERNAMBUCO,NE,NE,Nordeste,Nordeste,COMERCIO ATACADISTA,COMERCIO VAREJISTA,62,548271.40184021
CE,GO,CEARA,GOIAS,NE,CO,Nordeste,Centro-Oeste,,INDUSTRIA,6,21280.0
CE,RN,CEARA,RIO GRANDE DO NORTE,NE,NE,Nordeste,Nordeste,CONSTRUCAO CIVIL,CONSTRUCAO CIVIL,82,2368700.0033569336
PA,CE,PARA,CEARA,N,NE,Norte,Nordeste,INDUSTRIA,CONSTRUCAO CIVIL,6,770249.47265625
RS,CE,RIO GRANDE DO SUL,CEARA,S,NE,Sul,Nordeste,COMERCIO ATACADISTA,INDUSTRIA,1,190.41000366210938
CE,AL,CEARA,ALAGOAS,NE,NE,Nordeste,Nordeste,SERVICOS DE TRANSPORTE,,5,95166.0
CE,AP,CEARA,AMAPA,NE,N,Nordeste,Norte,COMERCIO VAREJISTA,COMERCIO VAREJISTA,1,1099.0
DF,CE,DISTRITO FEDERAL,CEARA,CO,NE,Centro-Oeste,Nordeste,SERVICOS DE COMUNICACAO,SERVICOS DE TRANSPORTE,3,5384.0
ES,CE,ESPIRITO SANTO,CEARA,SE,NE,Sudeste,Nordeste,INDUSTRIA,INDUSTRIA,6,40466.55993652344
MA,CE,MARANHAO,CEARA,NE,NE,Nordeste,Nordeste,,COMBUSTIVEL,126,6868745.925876617
BA,CE,BAHIA,CEARA,NE,NE,Nordeste,Nordeste,COMERCIO VAREJISTA,COMERCIO ATACADISTA,2,519.9299926757812
CE,PE,CEARA,PERNAMBUCO,NE,NE,Nordeste,Nordeste,PRODUTOR AGROPECUARIO,PRODUTOR AGROPECUARIO,3,10170.0
PR,CE,PARANA,CEARA,S,NE,Sul,Nordeste,INDUSTRIA,COMBUSTIVEL,1,2241.60009765625
SP,CE,SAO PAULO,CEARA,SE,NE,Sudeste,Nordeste,COMERCIO VAREJISTA,COMBUSTIVEL,6,13962.279815673828
CE,ES,CEARA,ESPIRITO SANTO,NE,SE,Nordeste,Sudeste,COMERCIO ATACADISTA,COMERCIO VAREJISTA,11,446931.4989013672
DF,CE,DISTRITO FEDERAL,CEARA,CO,NE,Centro-Oeste,Nordeste,SERVICOS DE COMUNICACAO,SERVICOS DE COMUNICACAO,1,650.0
CE,RN,CEARA,RIO GRANDE DO NORTE,NE,NE,Nordeste,Nordeste,SERVICOS DE COMUNICACAO,SERVICOS DE COMUNICACAO,64,4754082.808216095
CE,PA,CEARA,PARA,NE,N,Nordeste,Norte,COMERCIO VAREJISTA,COMBUSTIVEL,26,33779.26007080078
PR,CE,PARANA,CEARA,S,NE,Sul,Nordeste,ENERGIA ELETRICA,OUTROS SEGMENTOS,2,72789.98046875
CE,DF,CEARA,DISTRITO FEDERAL,NE,CO,Nordeste,Centro-Oeste,COMERCIO ATACADISTA,INDUSTRIA,4,514.3799953460693
DF,CE,DISTRITO FEDERAL,CEARA,CO,NE,Centro-Oeste,Nordeste,SERVICOS DE COMUNICACAO,PRODUTOR AGROPECUARIO,1,15980.0
AP,CE,AMAPA,CEARA,N,NE,Norte,Nordeste,,COMBUSTIVEL,7,1903609.6749725342
PA,CE,PARA,CEARA,N,NE,Norte,Nordeste,,COMBUSTIVEL,118,81625.93013763428
CE,PR,CEARA,PARANA,NE,S,Nordeste,Sul,ENERGIA ELETRICA,COMBUSTIVEL,1,32.310001373291016
GO,CE,GOIAS,CEARA,CO,NE,Centro-Oeste,Nordeste,COMERCIO VAREJISTA,COMERCIO VAREJISTA,11,301422.4192199707
RN,CE,RIO GRANDE DO NORTE,CEARA,NE,NE,Nordeste,Nordeste,ENERGIA ELETRICA,INDUSTRIA,5,914253.18359375
RN,CE,RIO GRANDE DO NORTE,CEARA,NE,NE,Nordeste,Nordeste,SERVICOS DE TRANSPORTE,COMERCIO VAREJISTA,2,1520.0
PA,CE,PARA,CEARA,N,NE,Norte,Nordeste,CONSTRUCAO CIVIL,CONSTRUCAO CIVIL,1,50000.0
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,PRODUTOR AGROPECUARIO,SERVICOS DE COMUNICACAO,2,5850.0
CE,SP,CEARA,SAO PAULO,NE,SE,Nordeste,Sudeste,,COMERCIO VAREJISTA,1,7817.89013671875
PI,CE,PIAUI,CEARA,NE,NE,Nordeste,Nordeste,INDUSTRIA,,4,130417.34643554688
CE,PI,CEARA,PIAUI,NE,NE,Nordeste,Nordeste,INDUSTRIA,COMBUSTIVEL,1,30372.80078125
CE,PE,CEARA,PERNAMBUCO,NE,NE,Nordeste,Nordeste,SERVICOS DE COMUNICACAO,COMERCIO VAREJISTA,2,784777.5625
CE,RJ,CEARA,RIO DE JANEIRO,NE,SE,Nordeste,Sudeste,OUTROS SEGMENTOS,OUTROS SEGMENTOS,2,344659.537109375
CE,BA,CEARA,BAHIA,NE,NE,Nordeste,Nordeste,CONSTRUCAO CIVIL,INDUSTRIA,2,4861.7598876953125
CE,PE,CEARA,PERNAMBUCO,NE,NE,Nordeste,Nordeste,INDUSTRIA,SERVICOS DE TRANSPORTE,1,900.0
ES,CE,ESPIRITO SANTO,CEARA,SE,NE,Sudeste,Nordeste,COMERCIO ATACADISTA,ENERGIA ELETRICA,2,24196.0
SC,CE,SANTA CATARINA,CEARA,S,NE,Sul,Nordeste,INDUSTRIA,ADMINISTRACAO PUBLICA E ORG.INTERNACIONAIS,1,113490.0
SE,CE,SERGIPE,CEARA,NE,NE,Nordeste,Nordeste,INDUSTRIA,OUTROS SEGMENTOS,5,39420.090576171875
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,ENERGIA ELETRICA,SERVICOS DE TRANSPORTE,10,794717.998750031
CE,ES,CEARA,ESPIRITO SANTO,NE,SE,Nordeste,Sudeste,COMBUSTIVEL,COMBUSTIVEL,2,882.3699951171875
CE,AP,CEARA,AMAPA,NE,N,Nordeste,Norte,SERVICOS DE TRANSPORTE,,3,31500.0
PE,CE,PERNAMBUCO,CEARA,NE,NE,Nordeste,Nordeste,COMERCIO VAREJISTA,COMERCIO VAREJISTA,10123,1.6127789615753591E7
RN,CE,RIO GRANDE DO NORTE,CEARA,NE,NE,Nordeste,Nordeste,,,1276,2.133906392717901E7
DF,CE,DISTRITO FEDERAL,CEARA,CO,NE,Centro-Oeste,Nordeste,,COMERCIO ATACADISTA,251,1.1427750678740025E7
MS,CE,MATO GROSSO DO SUL,CEARA,CO,NE,Centro-Oeste,Nordeste,,CONSTRUCAO CIVIL,19,558340.3774414062
SP,CE,SAO PAULO,CEARA,SE,NE,Sudeste,Nordeste,COMERCIO ATACADISTA,COMERCIO VAREJISTA,11242,5.6756774184799485E7
CE,RN,CEARA,RIO GRANDE DO NORTE,NE,NE,Nordeste,Nordeste,COMERCIO ATACADISTA,,29255,1.297461967947639E8
CE,DF,CEARA,DISTRITO FEDERAL,NE,CO,Nordeste,Centro-Oeste,OUTROS SEGMENTOS,,130,167596.46998405457
PI,CE,PIAUI,CEARA,NE,NE,Nordeste,Nordeste,,COMERCIO ATACADISTA,4413,2.4785927437115103E7
PB,CE,PARAIBA,CEARA,NE,NE,Nordeste,Nordeste,,INDUSTRIA,2295,4.7108512319764346E7
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,OUTROS SEGMENTOS,COMBUSTIVEL,43,2051642.1233177185
RJ,CE,RIO DE JANEIRO,CEARA,SE,NE,Sudeste,Nordeste,COMERCIO ATACADISTA,COMERCIO VAREJISTA,6881,6061883.878964424
DF,CE,DISTRITO FEDERAL,CEARA,CO,NE,Centro-Oeste,Nordeste,,,827,6228958.675552368
GO,CE,GOIAS,CEARA,CO,NE,Centro-Oeste,Nordeste,,ENERGIA ELETRICA,860,6200929.713191211
CE,RN,CEARA,RIO GRANDE DO NORTE,NE,NE,Nordeste,Nordeste,INDUSTRIA,,16321,1.1192404992773905E9
AL,CE,ALAGOAS,CEARA,NE,NE,Nordeste,Nordeste,,COMERCIO VAREJISTA,1729,1.8453506769458294E7
CE,PR,CEARA,PARANA,NE,S,Nordeste,Sul,SERVICOS DE TRANSPORTE,,24,173006.81060791016
PI,CE,PIAUI,CEARA,NE,NE,Nordeste,Nordeste,COMBUSTIVEL,COMBUSTIVEL,11,1643001.921875
CE,PE,CEARA,PERNAMBUCO,NE,NE,Nordeste,Nordeste,COMERCIO VAREJISTA,,4826,1.6678425558966279E7
CE,PB,CEARA,PARAIBA,NE,NE,Nordeste,Nordeste,COMERCIO ATACADISTA,,25133,6.876846672078913E7
SP,CE,SAO PAULO,CEARA,SE,NE,Sudeste,Nordeste,COMERCIO VAREJISTA,COMERCIO VAREJISTA,25241,4.432274700427662E7
SE,CE,SERGIPE,CEARA,NE,NE,Nordeste,Nordeste,,COMERCIO ATACADISTA,1911,1.3978235002098024E7
SC,CE,SANTA CATARINA,CEARA,S,NE,Sul,Nordeste,,COMERCIO ATACADISTA,5881,2.1312394193128473E8
SC,CE,SANTA CATARINA,CEARA,S,NE,Sul,Nordeste,COMERCIO ATACADISTA,,820,8076844.746889114
CE,RS,CEARA,RIO GRANDE DO SUL,NE,S,Nordeste,Sul,INDUSTRIA,,10829,1.1830615084850627E8
PE,CE,PERNAMBUCO,CEARA,NE,NE,Nordeste,Nordeste,,COMBUSTIVEL,255,8905860.759010315
PE,CE,PERNAMBUCO,CEARA,NE,NE,Nordeste,Nordeste,COMBUSTIVEL,,31,416000.12030792236
CE,AP,CEARA,AMAPA,NE,N,Nordeste,Norte,COMERCIO ATACADISTA,,762,5299788.952324033
CE,RR,CEARA,RORAIMA,NE,N,Nordeste,Norte,COMERCIO VAREJISTA,,169,296769.95864105225
RJ,CE,RIO DE JANEIRO,CEARA,SE,NE,Sudeste,Nordeste,ENERGIA ELETRICA,ENERGIA ELETRICA,122,1713024.551379919
CE,BA,CEARA,BAHIA,NE,NE,Nordeste,Nordeste,INDUSTRIA,COMBUSTIVEL,4,22123.580200195312
SP,CE,SAO PAULO,CEARA,SE,NE,Sudeste,Nordeste,COMERCIO VAREJISTA,PRODUTOR AGROPECUARIO,14,34250.52014160156
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,INDUSTRIA,SERVICOS DE COMUNICACAO,307,1373629.2165584564
TO,CE,TOCANTINS,CEARA,N,NE,Norte,Nordeste,,COMERCIO ATACADISTA,396,1.9072868984405518E7
PE,CE,PERNAMBUCO,CEARA,NE,NE,Nordeste,Nordeste,ENERGIA ELETRICA,COMERCIO VAREJISTA,36,722911.6428222656
MG,CE,MINAS GERAIS,CEARA,SE,NE,Sudeste,Nordeste,INDUSTRIA,INDUSTRIA,104,8170221.1675720215
MG,CE,MINAS GERAIS,CEARA,SE,NE,Sudeste,Nordeste,ENERGIA ELETRICA,INDUSTRIA,35,1745509.9602661133
PA,CE,PARA,CEARA,N,NE,Norte,Nordeste,,PRODUTOR AGROPECUARIO,308,1554181.240822792
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,PRODUTOR AGROPECUARIO,ADMINISTRACAO PUBLICA E ORG.INTERNACIONAIS,70,293326.31956481934
PB,CE,PARAIBA,CEARA,NE,NE,Nordeste,Nordeste,INDUSTRIA,,109,1277091.0164546967
PR,CE,PARANA,CEARA,S,NE,Sul,Nordeste,INDUSTRIA,ENERGIA ELETRICA,9,267123.6936035156
ES,CE,ESPIRITO SANTO,CEARA,SE,NE,Sudeste,Nordeste,COMERCIO ATACADISTA,INDUSTRIA,51,2039366.3046264648
PI,CE,PIAUI,CEARA,NE,NE,Nordeste,Nordeste,,SERVICOS DE TRANSPORTE,1284,5.434656685609827E7
MA,CE,MARANHAO,CEARA,NE,NE,Nordeste,Nordeste,,SERVICOS DE TRANSPORTE,1424,5804461.3101119995
CE,RN,CEARA,RIO GRANDE DO NORTE,NE,NE,Nordeste,Nordeste,SERVICOS DE COMUNICACAO,,31,394403.8534126282
SP,CE,SAO PAULO,CEARA,SE,NE,Sudeste,Nordeste,SERVICOS DE TRANSPORTE,INDUSTRIA,5,37335.219818115234
PE,CE,PERNAMBUCO,CEARA,NE,NE,Nordeste,Nordeste,COMBUSTIVEL,SERVICOS DE COMUNICACAO,1,722.9000244140625
GO,CE,GOIAS,CEARA,CO,NE,Centro-Oeste,Nordeste,,OUTROS SEGMENTOS,170,807891.8931339271
CE,PE,CEARA,PERNAMBUCO,NE,NE,Nordeste,Nordeste,ENERGIA ELETRICA,COMBUSTIVEL,2,47.99000072479248
DF,CE,DISTRITO FEDERAL,CEARA,CO,NE,Centro-Oeste,Nordeste,COMERCIO ATACADISTA,,977,1.739474604689884E7
CE,AL,CEARA,ALAGOAS,NE,NE,Nordeste,Nordeste,,,21,306978.17903137207
CE,PB,CEARA,PARAIBA,NE,NE,Nordeste,Nordeste,COMERCIO ATACADISTA,COMERCIO VAREJISTA,27,225330.5375957489
CE,PI,CEARA,PIAUI,NE,NE,Nordeste,Nordeste,CONSTRUCAO CIVIL,CONSTRUCAO CIVIL,8,702944.6257324219
AM,CE,AMAZONAS,CEARA,N,NE,Norte,Nordeste,,COMERCIO ATACADISTA,702,2.659248824763632E7
CE,PA,CEARA,PARA,NE,N,Nordeste,Norte,ENERGIA ELETRICA,,88,1.0294263554779053E7
CE,MA,CEARA,MARANHAO,NE,NE,Nordeste,Nordeste,COMBUSTIVEL,,86,9586044.244384766
CE,MA,CEARA,MARANHAO,NE,NE,Nordeste,Nordeste,SERVICOS DE TRANSPORTE,,61,2417793.342071533
RJ,CE,RIO DE JANEIRO,CEARA,SE,NE,Sudeste,Nordeste,COMBUSTIVEL,SERVICOS DE TRANSPORTE,2,141380.78125
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,COMBUSTIVEL,ADMINISTRACAO PUBLICA E ORG.INTERNACIONAIS,112,1.976098175756836E7
PA,CE,PARA,CEARA,N,NE,Norte,Nordeste,COMERCIO ATACADISTA,COMERCIO VAREJISTA,474,2159173.626000613
SE,CE,SERGIPE,CEARA,NE,NE,Nordeste,Nordeste,,CONSTRUCAO CIVIL,16,181608.12580871582
GO,CE,GOIAS,CEARA,CO,NE,Centro-Oeste,Nordeste,INDUSTRIA,COMERCIO ATACADISTA,80,1392917.5657958984
PR,CE,PARANA,CEARA,S,NE,Sul,Nordeste,ENERGIA ELETRICA,INDUSTRIA,19,1239698.7828979492
PB,CE,PARAIBA,CEARA,NE,NE,Nordeste,Nordeste,COMERCIO VAREJISTA,COMERCIO VAREJISTA,312,1142638.4036445618
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,SERVICOS DE COMUNICACAO,SERVICOS DE COMUNICACAO,809,4.674595450524235E7
SP,CE,SAO PAULO,CEARA,SE,NE,Sudeste,Nordeste,COMERCIO VAREJISTA,SERVICOS DE COMUNICACAO,30,1117578.0949707031
AM,CE,AMAZONAS,CEARA,N,NE,Norte,Nordeste,,SERVICOS DE TRANSPORTE,33,2125077.969470978
MG,CE,MINAS GERAIS,CEARA,SE,NE,Sudeste,Nordeste,COMERCIO VAREJISTA,OUTROS SEGMENTOS,34,45399.459271490574
ES,CE,ESPIRITO SANTO,CEARA,SE,NE,Sudeste,Nordeste,INDUSTRIA,ADMINISTRACAO PUBLICA E ORG.INTERNACIONAIS,4,2100000.0
PA,CE,PARA,CEARA,N,NE,Norte,Nordeste,,ADMINISTRACAO PUBLICA E ORG.INTERNACIONAIS,18,199047.08004760742
ES,CE,ESPIRITO SANTO,CEARA,SE,NE,Sudeste,Nordeste,COMERCIO VAREJISTA,CONSTRUCAO CIVIL,13,36673.90950012207
SP,CE,SAO PAULO,CEARA,SE,NE,Sudeste,Nordeste,INDUSTRIA,SERVICOS DE TRANSPORTE,77,4314863.001579285
AL,CE,ALAGOAS,CEARA,NE,NE,Nordeste,Nordeste,COMERCIO ATACADISTA,INDUSTRIA,10,16059.299964904785
