NOM_SIGLA_UF_EMIT,NOM_SIGLA_UF_DEST,DSC_UF_EMIT,DSC_UF_DEST,NOM_SIGLA_REGIAO_EMIT,NOM_SIGLA_REGIAO_DEST,DSC_REGIAO_EMIT,DSC_REGIAO_DEST,SEGMENTO_ECONOMICO_EMIT,SEGMENTO_ECONOMICO_DEST,QTDE_NOTAS,TOTAL_VLR
CE,SE,CEARA,SERGIPE,NE,NE,Nordeste,Nordeste,COMERCIO VAREJISTA,COMERCIO ATACADISTA,14,5250.559951782227
CE,SP,CEARA,SAO PAULO,NE,SE,Nordeste,Sudeste,INDUSTRIA,SERVICOS DE TRANSPORTE,3,27628.669921875
BA,CE,BAHIA,CEARA,NE,NE,Nordeste,Nordeste,COMBUSTIVEL,OUTROS SEGMENTOS,7,32148.210205078125
CE,PA,CEARA,PARA,NE,N,Nordeste,Norte,ENERGIA ELETRICA,INDUSTRIA,1,84.86000061035156
MT,CE,MATO GROSSO,CEARA,CO,NE,Centro-Oeste,Nordeste,,SERVICOS DE TRANSPORTE,182,425459.2693977356
SC,CE,SANTA CATARINA,CEARA,S,NE,Sul,Nordeste,INDUSTRIA,COMERCIO VAREJISTA,1827,2.3616304904134564E7
RN,CE,RIO GRANDE DO NORTE,CEARA,NE,NE,Nordeste,Nordeste,,SERVICOS DE TRANSPORTE,486,3.321240095809555E7
ES,CE,ESPIRITO SANTO,CEARA,SE,NE,Sudeste,Nordeste,,COMERCIO VAREJISTA,6659,5.55189960631573E7
ES,CE,ESPIRITO SANTO,CEARA,SE,NE,Sudeste,Nordeste,COMERCIO VAREJISTA,,170,643397.1271934509
MG,CE,MINAS GERAIS,CEARA,SE,NE,Sudeste,Nordeste,,INDUSTRIA,5428,2.128419969968664E8
SP,CE,SAO PAULO,CEARA,SE,NE,Sudeste,Nordeste,INDUSTRIA,COMERCIO VAREJISTA,10456,1.536807409327994E8
PB,CE,PARAIBA,CEARA,NE,NE,Nordeste,Nordeste,,COMERCIO VAREJISTA,10033,5.332921588339281E7
RJ,CE,RIO DE JANEIRO,CEARA,SE,NE,Sudeste,Nordeste,,SERVICOS DE COMUNICACAO,69,2918041.058830261
CE,MA,CEARA,MARANHAO,NE,NE,Nordeste,Nordeste,COMERCIO VAREJISTA,,2455,2.2297212289161563E7
PA,CE,PARA,CEARA,N,NE,Norte,Nordeste,,SERVICOS DE TRANSPORTE,633,7713670.190767288
AL,CE,ALAGOAS,CEARA,NE,NE,Nordeste,Nordeste,,INDUSTRIA,894,3.41740711969316E7
PB,CE,PARAIBA,CEARA,NE,NE,Nordeste,Nordeste,,ENERGIA ELETRICA,131,874026.4546604156
CE,RS,CEARA,RIO GRANDE DO SUL,NE,S,Nordeste,Sul,SERVICOS DE COMUNICACAO,,15,30903.069999694824
MG,CE,MINAS GERAIS,CEARA,SE,NE,Sudeste,Nordeste,,COMERCIO ATACADISTA,6303,2.4855442673442414E8
PE,CE,PERNAMBUCO,CEARA,NE,NE,Nordeste,Nordeste,,ENERGIA ELETRICA,755,9122541.131687135
MG,CE,MINAS GERAIS,CEARA,SE,NE,Sudeste,Nordeste,COMERCIO ATACADISTA,,474,3548732.985011697
MS,CE,MATO GROSSO DO SUL,CEARA,CO,NE,Centro-Oeste,Nordeste,,COMERCIO VAREJISTA,1983,2.1642634984106064E7
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,PRODUTOR AGROPECUARIO,PRODUTOR AGROPECUARIO,6504,2.1475783420948476E8
SP,CE,SAO PAULO,CEARA,SE,NE,Sudeste,Nordeste,,CONSTRUCAO CIVIL,1136,2.444181992961979E7
CE,PI,CEARA,PIAUI,NE,NE,Nordeste,Nordeste,COMERCIO ATACADISTA,,41407,1.6378290282888615E8
RJ,CE,RIO DE JANEIRO,CEARA,SE,NE,Sudeste,Nordeste,,,1127,1.1405893784170106E7
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,INDUSTRIA,ADMINISTRACAO PUBLICA E ORG.INTERNACIONAIS,2717,4.806898240424116E7
CE,AC,CEARA,ACRE,NE,N,Nordeste,Norte,PRODUTOR AGROPECUARIO,,13,9075.0
SP,CE,SAO PAULO,CEARA,SE,NE,Sudeste,Nordeste,,ADMINISTRACAO PUBLICA E ORG.INTERNACIONAIS,525,2.1545770804912567E7
CE,BA,CEARA,BAHIA,NE,NE,Nordeste,Nordeste,ENERGIA ELETRICA,,408,1.3347147179460108E7
